tweet_id,retweet_count,favorite_count
873213775632977920,1541,7041
872967104147763200,5273,26592
872820683541237760,3608,14342
872620804844003328,3585,20236
872486979161796608,8786,39681
872122724285648897,7932,33537
871879754684805121,10873,36945
871762521631449091,3398,19772
871515927908634625,3373,19705
871166179821445120,5561,0
871102520638267392,5391,20440
871032628920680449,3733,22166
870804317367881728,6056,32859
870726314365509632,3,118
870656317836468226,2593,12130
870374049280663552,25711,80963
870308999962521604,4070,21394
870063196459192321,8179,35836
869772420881756160,9842,41565
869702957897576449,6224,27678
869596645499047938,3080,15667
869227993411051520,3726,20061
868880397819494401,14227,64273
868639477480148993,2055,0
868622495443632128,5215,26230
868552278524837888,2055,9935
867900495410671616,4115,23780
867774946302451713,7249,33391
867421006826221569,2462,15843
867072653475098625,119,0
867051520902168576,7764,31718
866720684873056260,4752,19732
866686824827068416,3435,18981
866450705531457537,34901,120336
866334964761202691,14258,51710
866094527597207552,8273,0
865718153858494464,5568,25276
865359393868664832,4958,26092
865006731092295680,7616,27617
864873206498414592,8648,31839
864279568663928832,3001,14427
864197398364647424,8861,29740
863907417377173506,4103,20386
863553081350529029,4153,15142
863471782782697472,2426,0
863432100342583297,5203,23535
863427515083354112,96,2222
863079547188785154,1097,8674
863062471531167744,2426,8416
862831371563274240,5082,18982
862722525377298433,3509,16897
862457590147678208,4938,20304
862096992088072192,23161,73738
861383897657036800,10668,35796
861288531465048066,4145,17049
861005113778896900,3790,16586
860981674716409858,2156,0
860924035999428608,814,0
860563773140209665,2156,7459
860524505164394496,5280,23442
860276583193509888,3476,18191
860184849394610176,5855,16560
860177593139703809,30909,0
859924526012018688,4082,19451
859851578198683649,3516,15327
859607811541651456,1575,18490
859196978902773760,30297,89492
859074603037188101,13676,33719
858860390427611136,8175,0
858843525470990336,3500,15491
858471635011153920,4861,21440
858107933456039936,2915,15680
857989990357356544,2603,16088
857746408056729600,10716,34187
857393404942143489,1657,5901
857263160327368704,4552,19994
857214891891077121,18,227
857062103051644929,171,0
857029823797047296,4047,18937
856543823941562368,2913,16275
856526610513747968,1906,11861
856330835276025856,684,0
856288084350160898,17,520
856282028240666624,6407,27775
855862651834028034,26,345
855860136149123072,1041,5017
855857698524602368,2141,11895
855851453814013952,18014,45689
855818117272018944,5523,26717
855459453768019968,8340,30015
855245323840757760,6080,0
855138241867124737,46,0
854732716440526848,6219,22986
854482394044301312,7002,29492
854365224396361728,4780,19023
854120357044912130,7638,32228
854010172552949760,3217,16313
853760880890318849,5904,28839
853639147608842240,10381,35144
853299958564483072,3644,15669
852936405516943360,2061,0
852912242202992640,1885,9168
852672615818899456,2212,15108
852553447878664193,3606,16540
852311364735569921,10158,33553
852226086759018497,6988,20269
852189679701164033,1628,11617
